title,titleExt.es,titleExt.pt,languages.English,languages.Japanese,languages.Portuguese (Brazil),languages.Spanish (Latin Am),"languages.Chinese (Mandarin, PRC)",synopsis.long,synopsis.short,synopsis.medium,synopsisExt.en.long,synopsisExt.en.medium,synopsisExt.en.short,synopsisExt.es.long,synopsisExt.es.medium,synopsisExt.es.short,synopsisExt.pt.long,synopsisExt.pt.medium,synopsisExt.pt.short,synopsisExt.ru.long,synopsisExt.ru.medium,synopsisExt.ru.short,synopsisExt.fr.long,synopsisExt.fr.medium,synopsisExt.fr.short,synopsisExt.de.long,synopsisExt.de.medium,synopsisExt.de.short,maturity.bra,maturity.ca,maturity.irl,maturity.mex,maturity.usa,maturity.chl,maturity.per,maturity.col,maturity.aus,maturity.nzl,genres,studios,showUrl,showSlug,productionYear,releaseYear,quality,ratingUsTvMpaa,ratingPairs,venueId,versions,videoTypes,relevancy,id,type
My Bride is a Mermaid,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,true,true,"[""Comedy"",""Romance""]","[""TV Tokyo Medianet Inc.""]",/shows/my-bride-is-a-mermaid/,my-bride-is-a-mermaid,2007,2007,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""TV-US|TV-PG"",""OFLC|MA15+"",""FVLB|RP16""]",93940,"[""Uncut""]","[""episode""]",1,MBM,Show
My Dress-Up Darling,My Dress-Up Darling,My Dress-Up Darling,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,,,,true,,"[""Comedy"",""Romance"",""Slice of Life""]","[""Aniplex""]",/shows/my-dress-up-darling/,my-dress-up-darling,2022,2022,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A16""]",4027354,"[""Simulcast""]","[""episode""]",1,MDD,Show
My First Girlfriend is a Gal,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,true,true,"[""Fan Service"",""Comedy""]","[""Kadokawa Pictures""]",/shows/my-first-girlfriend-is-a-gal/,my-first-girlfriend-is-a-gal,2017,2017,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""OFLC|MA15+"",""FVLB|RP16""]",500478,"[""Simulcast"",""Uncut""]","[""episode"",""ova""]",1,MFG,Show
My Hero Academia,My Hero Academia,My Hero Academia,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Shounen""]","[""Toho Co Ltd""]",/shows/my-hero-academia/,my-hero-academia,2016,2016,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",124389,"[""Uncut"",""Simulcast""]","[""episode"",""ova"",""movie""]",1,MHA,Show
My Roommate is a Cat,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Slice of Life""]","[""NBC Universal""]",/shows/my-roommate-is-a-cat/,my-roommate-is-a-cat,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",810830,"[""Uncut"",""Simulcast""]","[""episode""]",1,MRM,Show
My Senpai Is Annoying,My Senpai Is Annoying,My Senpai Is Annoying,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Comedy"",""Romance"",""Slice of Life""]","[""King Records""]",/shows/my-senpai-is-annoying/,my-senpai-is-annoying,2021,2021,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",2794128,"[""Simulcast""]","[""episode""]",1,MSA,Show
My-HiME,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,"[""Action/Adventure"",""Comedy"",""Drama"",""Fantasy"",""Romance""]","[""Sunrise Inc.""]",/shows/my-hime/,my-hime,2004,2004,"{""quality"":""HD"",""height"":1080}",,[],532290,"[""Uncut""]","[""episode""]",1,MYH,Show
My-Otome,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,"[""Action/Adventure"",""Comedy"",""Drama"",""Fantasy"",""Romance""]","[""Sunrise Inc.""]",/shows/my-otome/,my-otome,2005,2005,"{""quality"":""HD"",""height"":1080}",,[],532293,"[""Uncut""]","[""episode"",""ova""]",1,MYO,Show
Myriad Colors Phantom World,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,"[""Action/Adventure"",""Comedy"",""Fan Service"",""Fantasy"",""Slice of Life""]","[""ABC Asahi""]",/shows/myriad-colors-phantom-world/,myriad-colors-phantom-world,2016,2016,"{""quality"":""HD"",""height"":1080}",,[],516138,"[""Uncut""]","[""episode"",""ova""]",1,MCP,Show
NANBAKA,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,true,true,"[""Action/Adventure"",""Comedy""]","[""Tokuma Japan Comm""]",/shows/nanbaka/,nanbaka,2016,2016,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|RP16""]",185706,"[""Uncut"",""Simulcast""]","[""episode"",""ova""]",1,NAN,Show
NEW GAME!,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,false,false,"[""Comedy"",""Slice of Life""]","[""Kadokawa Pictures""]",/shows/new-game/,new-game,2016,2016,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|M"",""FVLB|M""]",478895,"[""Uncut"",""Simulcast""]","[""episode""]",1,NWG,Show
NEWS: The Future Is On Crunchyroll!,ÚLTIMA HORA: ¡Nos mudamos a Crunchyroll! ,BOAS NOTÍCIAS: Estamos Indo Para a Crunchyroll!,true,-,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,,false,false,,,,false,false,[],"[""Crunchyroll""]",/shows/news-the-future-is-on-crunchyroll/,news-the-future-is-on-crunchyroll,2022,2022,"{""quality"":""HD"",""height"":1080}",TVPG,"[""TV-US|TV-PG"",""CBSC|PG"",""zw-movies|PG"",""RTE|G"",""OFLC|G"",""FVLB|G"",""RTC|C"",""CRRBR|A10""]",4115226,"[""Uncut""]","[""episode""]",1,CRU,Show
NO-RIN,No-Rin,No-Rin,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,,false,true,false,false,false,false,false,"[""Comedy"",""Slice of Life""]","[""Showgate""]",/shows/no-rin/,no-rin,2014,2014,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""TV-US|TV-MA"",""RTC|C"",""CRRBR|A16"",""OFLC|M"",""FVLB|M""]",82582,"[""Simulcast"",""Uncut""]","[""episode""]",1,NRN,Show
Nabari no Ou,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,true,false,"[""Action/Adventure"",""Comedy""]","[""d-rights, Inc.""]",/shows/nabari-no-ou/,nabari-no-ou,2008,2008,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""TV-US|TV-PG"",""OFLC|MA15+"",""FVLB|M""]",84260,"[""Uncut""]","[""episode""]",1,NAB,Show
Nanana's Buried Treasure,Nanana's Buried Treasure,Nanana's Buried Treasure,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Comedy""]","[""Aniplex""]",/shows/nananas-buried-treasure/,nananas-buried-treasure,2014,2014,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1161187,"[""Uncut""]","[""episode""]",1,NBT,Show
Naruto,,,true,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure""]","[""Viz""]",/shows/naruto-2/,naruto-2,2002,2002,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""CRRBR|A14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1118037,"[""Uncut""]","[""movie""]",1,NTO,Show
Natsume's Book of Friends,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Drama"",""Comedy""]",[],/shows/natsumes-book-of-friends/,natsumes-book-of-friends,2008,2008,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""DJCTQ|14""]",1407045,"[""Uncut"",""Simulcast""]","[""episode"",""ova""]",1,NFB,Show
Nekomonogatari Black,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Fan Service"",""Psychological"",""Romance""]","[""Aniplex""]",/shows/nekomonogatari-black/,nekomonogatari-black,2012,2012,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1052593,"[""Uncut""]","[""episode""]",1,NEK,Show
Nekopara,,,true,true,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,false,true,"[""Comedy"",""Drama"",""Slice of Life""]","[""Avex""]",/shows/nekopara/,nekopara,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1021292,"[""Uncut"",""Simulcast""]","[""episode""]",1,NPA,Show
Nichijou - My Ordinary Life,Nichijou - My Ordinary Life,Nichijou - My Ordinary Life,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,,,false,,false,false,false,false,false,"[""Comedy"",""Slice of Life""]","[""Kadokawa Pictures""]",/shows/nichijou-my-ordinary-life/,nichijou-my-ordinary-life,2011,2011,"{""quality"":""HD"",""height"":1080}",,"[""RTC|B15"",""CRRBR|A14"",""OFLC|M"",""FVLB|M""]",243738,"[""Uncut""]","[""episode""]",1,NIC,Show
Ninja Nonsense,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,false,,,,false,false,"[""Comedy""]","[""Right Stuf, Inc""]",/shows/ninja-nonsense/,ninja-nonsense,2004,2004,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""OFLC|M"",""FVLB|M""]",1006955,"[""Uncut""]","[""episode""]",1,NJN,Show
Nisekoi,Nisekoi,Nisekoi,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Romance"",""Comedy""]","[""Aniplex""]",/shows/nisekoi/,nisekoi,2014,2014,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1103403,"[""Uncut""]","[""episode""]",1,NIS,Show
Nisemonogatari,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,true,true,false,true,false,false,false,,,"[""Psychological"",""Romance"",""Fan Service""]","[""Aniplex""]",/shows/nisemonogatari/,nisemonogatari,2012,2012,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CRRBR|A16"",""CBSC|18"",""RTE|MA"",""RTC|C"",""TV-US|TV-MA"",""zw-movies|18""]",1053571,"[""Uncut""]","[""episode""]",1,NMG,Show
No Guns Life,No Guns Life,No Guns Life,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,false,false,false,false,,,,,,,[],"[""Hakuhodo""]",/shows/no-guns-life/,no-guns-life,2019,2019,"{""quality"":""HD"",""height"":1080}",,"[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS""]",962516,"[""Simulcast"",""Uncut""]","[""episode""]",1,NGL,Show
Nobunagun,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""YTV""]",/shows/nobunagun/,nobunagun,2013,2013,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""TV-US|TV-14"",""OFLC|M"",""FVLB|M""]",85381,"[""Uncut"",""Simulcast""]","[""episode""]",1,NOB,Show
Noein: To Your Other Self,Noein: To Your Other Self,Noein: To Your Other Self,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Sci Fi""]","[""Media Factory""]",/shows/noein-to-your-other-self/,noein-to-your-other-self,2005,2005,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",31873,"[""Uncut""]","[""episode""]",1,NOE,Show
Noir,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,,,"[""Action/Adventure"",""Drama""]","[""FlyingDog Inc.""]",/shows/noir/,noir,2001,2001,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""TV-US|TV-PG""]",40059,"[""Uncut""]","[""episode""]",1,NOR,Show
Noragami,Noragami,Noragami,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,true,,"[""Action/Adventure"",""Comedy"",""Drama"",""Fantasy""]","[""Shochiku""]",/shows/noragami/,noragami,2014,2014,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""RTE|Ch"",""TV-US|TV-PG"",""zw-movies|PG"",""CRRBR|A14"",""RTC|B15"",""OFLC|MA15+"",""FVLB|R13""]",19754,"[""Uncut"",""Simulcast""]","[""episode""]",1,NRG,Show
ORESUKI Are you the only one who loves me?,ORESUKI Are you the only one who loves me?,ORESUKI Are you the only one who loves me?,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,,,"[""Romance"",""Comedy"",""Slice of Life""]","[""Aniplex""]",/shows/oresuki-are-you-the-only-one-who-loves-me/,oresuki-are-you-the-only-one-who-loves-me,2019,2019,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",959504,"[""Simulcast""]","[""episode"",""ova""]",1,OSK,Show
Obey Me!,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Fantasy"",""Romance"",""Comedy"",""Fan Service""]","[""Sotsu""]",/shows/obey-me/,obey-me,2022,2022,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""DJCTQ|14""]",1689022,"[""Simulcast""]","[""episode""]",1,OBM,Show
Occultic;Nine,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,true,false,"[""Sci Fi""]","[""Aniplex""]",/shows/occulticnine/,occulticnine,2016,2016,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|M""]",1091643,"[""Uncut""]","[""episode""]",1,OC9,Show
Oh! Edo Rocket,Oh! Edo Rocket,Oh! Edo Rocket,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,,false,true,false,false,false,,,"[""Comedy"",""Sci Fi""]","[""MAD HOUSE, INC.""]",/shows/oh-edo-rocket/,oh-edo-rocket,2007,2007,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""TV-US|TV-MA"",""RTC|C"",""CRRBR|A16""]",38938,"[""Uncut""]","[""episode""]",1,OED,Show
Omamori Himari,Omamori Himari,Omamori Himari,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,-,-,-,-,-,-,-,-,-,false,true,true,false,true,false,false,false,true,,"[""Action/Adventure"",""Comedy"",""Fan Service""]","[""Kadokawa""]",/shows/omamori-himari/,omamori-himari,2010,2010,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18"",""CRRBR|A16"",""RTC|C"",""OFLC|MA15+"",""FVLB|RP15""]",155607,"[""Uncut""]","[""episode""]",1,OMH,Show
One Piece,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,Sí,Sí,Sí,-,-,-,Sí,Sí,Sí,,false,,,false,,,,,,"[""Shounen"",""Action/Adventure""]","[""TOEI ANIMATION""]",/shows/one-piece/,one-piece,1999,1999,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14""]",20224,"[""Uncut"",""Simulcast""]","[""episode"",""special"",""movie""]",1,OPE,Show
OniAi,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,true,,,true,,,,true,,"[""Comedy"",""Fan Service""]","[""Media Factory""]",/shows/oniai/,oniai,2012,2012,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""TV-US|TV-MA"",""OFLC|MA15+"",""FVLB|RP15""]",112808,"[""Uncut"",""Simulcast""]","[""episode""]",1,ONI,Show
Orange,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,"[""Drama"",""Romance""]","[""TMS Entertainment""]",/shows/orange/,orange,2016,2016,"{""quality"":""HD"",""height"":1080}",,[],168926,"[""Uncut"",""Simulcast""]","[""episode""]",1,ORA,Show
Oreimo,,,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,true,,"[""Slice of Life"",""Comedy""]","[""Aniplex""]",/shows/oreimo/,oreimo,2010,2010,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12"",""OFLC|MA15+"",""FVLB|RP15""]",1103363,"[""Uncut""]","[""episode""]",1,ORE,Show
Oreshura,Oreshura,Oreshura,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Slice of Life"",""Comedy"",""Romance""]","[""Aniplex""]",/shows/oreshura/,oreshura,2013,2013,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1161161,"[""Uncut""]","[""episode""]",1,ORS,Show
Origin: Spirits of the Past,Origin: Spirits of the Past,Origin: Spirits of the Past,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,false,"[""Action/Adventure"",""Sci Fi""]","[""GDH GONZO DIGIMATION""]",/shows/origin-spirits-of-the-past/,origin-spirits-of-the-past,2006,2006,"{""quality"":""HD"",""height"":1080}",TVPG,"[""TV-US|TV-PG"",""CBSC|PG"",""zw-movies|PG"",""RTE|Ch"",""OFLC|PG"",""FVLB|PG"",""RTC|B"",""CRRBR|A12""]",38116,"[""Uncut""]","[""movie""]",1,ORG,Show
Otherside Picnic,Otherside Picnic,Otherside Picnic,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Drama"",""Fantasy"",""Sci Fi""]","[""Hakuhodo""]",/shows/otherside-picnic/,otherside-picnic,2021,2021,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1315045,"[""Uncut"",""Simulcast""]","[""episode""]",1,OTP,Show
Our Last Crusade or the Rise of a New World,Our Last Crusade or the Rise of a New World,Our Last Crusade or the Rise of a New World,true,true,true,true,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,Sí,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Fantasy"",""Romance""]","[""Kadokawa""]",/shows/our-last-crusade-or-the-rise-of-a-new-world/,our-last-crusade-or-the-rise-of-a-new-world,2020,2020,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""DJCTQ|14"",""FVLB|R15"",""OFLC|M"",""RTC|B15"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",1173233,"[""Simulcast"",""Uncut""]","[""episode""]",1,OLC,Show
Our love has always been 10 centimeters apart.,Our love has always been 10 centimeters apart.,Our love has always been 10 centimeters apart.,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Romance"",""Drama"",""Shoujo""]","[""Aniplex""]",/shows/our-love-has-always-been-10-centimeters-apart/,our-love-has-always-been-10-centimeters-apart,2017,2017,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1149529,"[""Uncut""]","[""episode""]",1,OLV,Show
Ouran High School Host Club,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,,,false,,,,false,false,"[""Shoujo"",""Romance""]","[""Nippon Television Networks""]",/shows/ouran-high-school-host-club/,ouran-high-school-host-club,2006,2006,"{""quality"":""HD"",""height"":1080}",TVPG,"[""CBSC|PG"",""TV-US|TV-PG"",""OFLC|M"",""FVLB|M""]",39643,"[""Uncut""]","[""episode""]",1,OUR,Show
Outlaw Star,,,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,false,false,,false,,,,,,"[""Action/Adventure"",""Comedy"",""Sci Fi""]","[""Sunrise Inc.""]",/shows/outlaw-star/,outlaw-star,1998,1998,"{""quality"":""HD"",""height"":1080}",TV14,"[""CBSC|14"",""RTE|PS"",""TV-US|TV-14"",""zw-movies|12""]",349945,"[""Uncut""]","[""episode""]",1,OUT,Show
Overlord,Overlord,Overlord,true,true,true,true,-,-,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,true,true,true,false,true,,,,true,,"[""Action/Adventure"",""Fantasy""]","[""Kadokawa""]",/shows/overlord/,overlord,2015,2015,"{""quality"":""HD"",""height"":1080}",TVMA,"[""TV-US|TV-MA"",""CBSC|18"",""zw-movies|18"",""RTE|MA"",""OFLC|R18+"",""FVLB|R18"",""RTC|C"",""CRRBR|A18""]",103522,"[""Simulcast"",""Uncut""]","[""episode"",""movie""]",1,OVE,Show
Owarimonogatari,Owarimonogatari,Owarimonogatari,-,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,-,Sí,Sí,-,Sí,Sí,-,-,-,-,-,-,-,-,-,,true,true,,true,,,,,,"[""Fan Service"",""Psychological"",""Romance""]","[""Aniplex""]",/shows/owarimonogatari/,owarimonogatari,2015,2015,"{""quality"":""HD"",""height"":1080}",TVMA,"[""CBSC|18"",""RTE|MA"",""TV-US|TV-MA"",""zw-movies|18""]",1052393,"[""Uncut""]","[""episode""]",1,OWA,Show
PERSONA5 the Animation,PERSONA5 the Animation,PERSONA5 the Animation,true,true,-,-,-,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,-,-,-,-,-,-,-,-,-,false,false,false,false,false,,,,false,true,"[""Action/Adventure"",""Psychological"",""Fantasy""]","[""Aniplex""]",/shows/persona5-the-animation/,persona5-the-animation,2017,2017,"{""quality"":""HD"",""height"":1080}",TV14,"[""TV-US|TV-14"",""CBSC|14"",""zw-movies|12"",""RTE|PS"",""OFLC|M"",""FVLB|R15"",""RTC|B15"",""CRRBR|A14""]",1139173,"[""Uncut""]","[""episode"",""special""]",1,PA5,Show
